id,ra,dec,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,votes,p_el_debiased,p_cs_debiased,spiral,elliptical,uncertain
588848898825715000,149.79426,-0.8594179,0.104538,18.801754,17.890545,17.312738,16.939503,16.706606,2.542145,0.512249,1.773173,0.476697,10.498533,34,0.248,0.46399999,0,0,1
588848899899654000,150.30311,-0.08891143,0.095082,18.693542,16.990381,16.132668,15.708946,15.397095,8.461102,0.391427,3.852502,0.411275,10.999968,38,0.02,0.89899999,1,0,0
587728947973652000,149.67551,-0.80621969,0.085433,18.723856,16.877455,15.973515,15.554743,15.236932,3.198552,0.701918,1.906589,0.71517,11.039133,70,0.97100002,0,0,1,0
587728949047656000,150.23171,0.08650776,0.032746,17.994658,16.431686,15.674067,15.269637,14.945662,8.296173,0.450007,4.114701,0.469915,10.240525,36,0.25999999,0.74000001,0,0,1
587728949047656000,150.25644,0.03831609,0.087351,19.091305,17.11397,16.212635,15.79842,15.472688,2.801786,0.84981,1.526585,0.881395,10.944837,45,0.65899998,0.287,0,0,1
588848899362521000,149.61426,-0.42008804,0.033072,17.950716,16.915718,16.452257,16.161688,15.91884,12.319982,0.208583,5.608627,0.227308,9.600967,36,0.045,0.926,1,0,0
588848899899523000,149.99453,-0.02293458,0.07232,0,0,0,0,0,3.115731,0.645782,2.023602,0.97798,10.085574,47,0.23800001,0.25,0,0,1
587728948510654000,149.88144,-0.25650872,0.046468,18.307625,16.466375,15.652836,15.289754,14.984618,3.525112,0.725569,2.333243,0.685065,10.512634,21,0.88999999,0.11,0,1,0
588848899899457000,149.80119,-0.1401662,0.124712,19.044407,17.6674,16.841625,16.417953,16.107428,3.557954,0.559531,2.010407,0.560063,10.943889,52,0.061,0.66399997,0,0,1
588848899362586000,149.77414,-0.43855325,0.170546,20.567432,18.524597,17.319214,16.830362,16.462875,1.826862,0.886202,1.195319,0.856361,11.258001,28,0.75999999,0.19499999,0,0,1
587728949047460000,149.76349,0.03706968,0.072874,18.682241,17.450058,16.91317,16.562626,16.2997,7.939378,0.418757,3.559157,0.441536,10.195462,47,0.026,0.97399998,1,0,0
