id,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,class
588848899900506000,0.184329,20.418076,18.402731,17.169369,16.684975,16.352663,1.768829,0.899041,1.063742,0.921284,11.349908,0
588848899363897000,0.046003,16.922131,15.051826,14.204854,13.816623,13.516675,4.671139,0.786451,3.577093,0.760781,11.149819,0
588848899900965000,0.095064,20.235895,18.423733,17.518032,17.096352,16.799967,2.698413,0.259822,1.843177,0.305914,10.496682,1
587728948511834000,0.216088,20.871115,18.809263,17.404892,16.89608,16.589418,2.126211,0.885701,1.035765,0.933754,11.458881,0
587728948511768000,0.096108,19.942335,18.273417,17.293945,16.809601,16.359631,7.938715,0.327381,3.543123,0.353791,10.804352,1
587728950122315000,0.126438,19.548405,18.319834,17.744608,17.377611,17.183632,2.122093,0.852431,1.263126,0.879576,10.29985,1
588848900437508000,0.09747,19.766914,17.814165,16.884905,16.47039,16.140839,2.145853,0.279954,1.60741,0.342498,10.789457,1
587728949049032000,0.069853,18.669622,17.388742,16.795708,16.416542,16.161285,4.76055,0.446942,2.546957,0.475536,10.283148,1
588848900438032000,0.116953,19.177725,17.194107,16.17087,15.728846,15.354816,2.773947,0.897351,1.834132,0.879209,11.365944,0
588848900438032000,0.095967,19.347813,17.594749,16.660698,16.181246,15.783114,5.01783,0.459074,2.501568,0.482193,11.027991,1
588848898827944000,0.043296,18.012243,16.870968,16.439365,16.175352,16.10778,13.643725,0.999674,4.770624,0.986684,9.625029,1
587728948512555000,0.062911,18.260317,16.807047,16.201109,15.874684,15.715844,15.359251,0.730278,5.465712,0.726902,10.357793,1
588848900437508000,0.090175,19.746964,18.47505,17.713144,17.076813,16.649849,7.186575,0.662832,2.783428,0.66346,11.193803,1
588848899900637000,0.058384,18.46487,17.181808,16.63747,16.304388,16.087458,9.067195,0.329279,4.089817,0.349975,10.091779,1
587728949585641000,0.01202,14.96666,13.821495,13.269974,12.97479,12.817201,29.669777,0.923756,20.0434,0.71081,9.796802,1
587728949585969000,0.020649,16.112909,14.697805,14.1731,13.886659,13.773695,29.661165,0.932001,13.734077,0.865243,9.820428,1
587728949049163000,0.143514,19.02762,17.895535,17.32638,17.00997,16.856316,9.890648,0.680782,3.487723,0.750695,10.440516,1
588848898828075000,0.052557,18.183943,16.873583,16.309984,16.026171,15.81259,14.786876,0.73346,5.039681,0.755427,10.073213,1
587728948513079000,0.075236,18.463549,17.225082,16.58913,16.217455,15.977004,3.45523,0.616515,2.045444,0.626361,10.455495,1
587728947976077000,0.092275,19.716337,17.871862,16.970751,16.493402,16.101887,5.389876,0.223501,2.901298,0.280652,10.864181,1
587728947975421000,0.04902,16.393318,14.434752,13.564767,13.123941,12.7981,20.414206,0.767248,11.547598,0.817307,11.527272,1
587728947975487000,0.098129,18.612347,16.722486,15.760594,15.363705,15.009665,2.914443,0.932998,1.86612,0.891321,11.253754,0
587728950122905000,0.144016,19.530308,17.481907,16.601252,16.193214,15.940263,7.807406,0.849272,3.064766,0.829524,11.06832,1
588848900438229000,0.095842,18.365242,17.015095,16.270643,15.867397,15.562701,4.289685,0.715096,2.452653,0.657959,10.936038,1
588848900438360000,0.094817,18.460743,17.247761,16.713787,16.352901,16.159678,5.210158,0.725317,2.470694,0.734033,10.473515,1
587728949049557000,0.062097,19.490896,17.877783,17.023966,16.565479,16.205994,3.372613,0.23051,2.089479,0.253705,10.396727,1
587728949049557000,0.070084,19.020308,17.222048,16.429121,16.080809,15.817827,1.797143,0.669577,1.226225,0.693323,10.480649,1
588848899902800000,0.094983,18.901133,17.628803,16.989418,16.592703,16.332352,4.564437,0.353797,2.485444,0.381626,10.538557,1
588848898828468000,0.216599,20.695782,18.828138,17.685841,17.167181,16.810215,3.056556,0.508685,1.552351,0.563747,11.277414,1
587728949049295000,0.093836,19.349258,17.449358,16.51437,16.098141,15.745834,3.865196,0.598165,2.427799,0.588394,10.907116,1
587728949049556000,0.049406,18.004578,16.222113,15.44474,15.087651,14.796733,1.977009,0.81605,1.507825,0.775636,10.592457,0
588848900438425000,0.096587,18.285635,17.349327,16.890446,16.582478,16.405405,5.226183,0.870153,2.39376,0.846443,10.311991,1
588848900438425000,0.046603,18.874851,17.285376,16.487476,16.022709,15.614724,8.566464,0.205127,4.537082,0.213532,10.401075,1
587728949586821000,0.071375,19.094908,17.033787,16.09094,15.62466,15.276831,3.542323,0.243239,2.443348,0.304286,10.964158,1
587728947976798000,0.092651,18.513933,17.059053,16.343107,15.943598,15.667526,12.322514,0.537752,4.049833,0.578595,10.836269,1
588848899902537000,0.096797,19.835217,18.150938,17.261909,16.75913,16.388247,8.135371,0.233887,3.774958,0.265787,10.770662,1
587728948513276000,0.095329,17.91604,15.986479,15.03791,14.638099,14.287047,6.923472,0.787556,3.015548,0.819404,11.523612,0
588848898828402000,0.061457,18.397974,17.371439,17.000872,16.702963,16.495678,10.566698,0.182097,4.889231,0.2,9.816882,1
587728948513472000,0.062515,18.532784,17.529953,17.111603,16.826921,16.689453,10.252175,0.421048,3.934696,0.45612,9.735887,1
588848898828140000,0.093892,20.39003,18.659733,17.71291,17.252239,16.892019,3.732361,0.414243,1.989865,0.46045,10.510135,1
587728947439272000,0.084115,19.818161,18.147221,17.55814,17.038416,16.877659,12.439456,0.158025,5.293343,0.170507,10.298467,1
588848899901554000,0.065708,19.096811,17.429033,16.584688,16.110985,15.748797,19.119558,0.187742,7.401592,0.20638,10.824469,1
588848900975624000,0.096244,19.215664,17.986528,17.288525,16.912369,16.646149,5.116457,0.52712,2.444571,0.547444,10.461254,1
588848900975558000,0.054092,19.902571,18.086304,17.276342,16.909756,16.65468,0.757067,0.834655,0.77132,0.881617,10.466694,0
587728949050147000,0.092215,19.052952,17.854229,17.425806,17.127792,17.093145,6.371874,0.681117,2.541075,0.72401,10.002704,1
587728950124216000,0.056204,19.322989,17.533112,16.614637,16.100895,15.684762,17.58264,0.36923,6.013482,0.409694,10.644322,1
587728950124216000,0.097637,18.843239,17.873182,17.451645,17.1793,17.038607,9.908,0.803375,3.802835,0.811885,9.993541,1
588848900976279000,0.031685,18.281572,16.795347,16.11051,15.787039,15.565308,3.9406,0.750034,2.30287,0.776916,9.873025,0
587728947977584000,0.238927,22.003056,18.747461,17.409023,16.934729,16.619184,1.528724,0.610578,1.026405,0.624082,11.450648,0
588848899903455000,0.072479,19.469357,18.022724,17.239027,16.82098,16.544426,6.374448,0.449904,3.017552,0.45,10.308785,1
587728948514455000,0.094701,19.404125,17.476238,16.556847,16.15122,15.8178,2.576795,0.444245,1.662078,0.509826,10.890986,1
588848899902996000,0.086983,19.197075,17.919661,17.435064,17.111034,16.898449,9.424675,0.411381,3.776955,0.439288,10.034017,1
587728947976995000,0.035254,17.863493,16.777355,16.440672,16.259779,16.145086,9.880484,0.788703,3.751269,0.794286,9.336088,1
587728948513603000,0.095777,19.178612,18.021841,17.466131,17.141657,16.95973,5.114351,0.736408,2.34511,0.748684,10.159067,1
588848900976476000,0.114823,19.882292,18.262884,17.408628,17.034864,16.753204,1.368895,0.487027,0.996324,0.530313,10.573276,1
588848900976410000,0.145606,20.667854,18.077156,16.94099,16.450771,16.069328,2.29124,0.890056,1.299101,0.884532,11.253794,0
587728950124609000,0.186986,20.447771,18.742901,17.614252,17.153419,16.876623,3.048914,0.633031,1.615504,0.592023,11.068514,1
588848898827944000,0.043465,17.041653,15.928769,15.423429,15.101712,14.880901,12.603977,0.611583,6.187108,0.584606,10.286464,1
588848898827944000,0.138039,18.797731,17.560516,16.869345,16.501181,16.255453,9.592074,0.9359,3.564951,0.969575,10.845499,1
